,Genus,value,Type
413,Actinomyces,-100,PC04924-MSA1003_Diff
414,Alistipes,NA,PC04924-MSA1003_Diff
415,Anaerostipes,NA,PC04924-MSA1003_Diff
416,Bacillus,457.6529402,PC04924-MSA1003_Diff
417,Bacteroides,126.2347468,PC04924-MSA1003_Diff
418,Bifidobacterium,-100,PC04924-MSA1003_Diff
419,Bilophila,NA,PC04924-MSA1003_Diff
420,Clostridium,NA,PC04924-MSA1003_Diff
421,Lachnoclostridium,NA,PC04924-MSA1003_Diff
422,Collinsella,NA,PC04924-MSA1003_Diff
423,Coprobacillus,NA,PC04924-MSA1003_Diff
424,Cryptococcus,NA,PC04924-MSA1003_Diff
425,Deinococcus,-85.86032832,PC04924-MSA1003_Diff
426,Enterococcus,175.7235977,PC04924-MSA1003_Diff
427,Escherichia-Shigella,5.222723395,PC04924-MSA1003_Diff
428,Fusobacterium,NA,PC04924-MSA1003_Diff
429,Helicobacter,-39.51362672,PC04924-MSA1003_Diff
430,Lactobacillus,7783.652497,PC04924-MSA1003_Diff
431,Listeria,NA,PC04924-MSA1003_Diff
432,Neisseria,-41.87023866,PC04924-MSA1003_Diff
433,Paenibacillus,NA,PC04924-MSA1003_Diff
434,Parabacteroides,NA,PC04924-MSA1003_Diff
435,Pediococcus,NA,PC04924-MSA1003_Diff
436,Porphyromonadaceae,NA,PC04924-MSA1003_Diff
437,Propionibacterium,-100,PC04924-MSA1003_Diff
438,Pseudomonas,-100,PC04924-MSA1003_Diff
439,Pyramidobacter,NA,PC04924-MSA1003_Diff
440,Ralstonia,NA,PC04924-MSA1003_Diff
441,Rhodobacter,NA,PC04924-MSA1003_Diff
442,Saccharomyces,NA,PC04924-MSA1003_Diff
443,Salmonella,NA,PC04924-MSA1003_Diff
444,Staphylococcus,20.24433924,PC04924-MSA1003_Diff
445,Streptococcus,-45.46942782,PC04924-MSA1003_Diff
446,Subdoligranulum,NA,PC04924-MSA1003_Diff
447,Abiotrophia,NA,PC04924-MSA1003_Diff
